timestamp,density,speed,flow,target,weather,is_holiday
2024-01-01 00:00:00,56.72202994576067,100.0,56.72202994576067,44.21680783701511,Clear,0
2024-01-01 00:05:00,59.494583656903124,74.32072823974568,44.21680783701511,42.37883952748868,Clear,0
2024-01-01 00:10:00,88.34310615184785,47.970737472877786,42.37883952748868,52.822208209067455,Clear,0
2024-01-01 00:15:00,70.01797999414389,75.44091990869397,52.822208209067455,42.37379719050248,Clear,0
2024-01-01 00:20:00,60.66695760638752,69.84658348194638,42.37379719050248,25.584263972164145,Clear,0
2024-01-01 00:25:00,25.584263972164145,100.0,25.584263972164145,71.35560259405105,Clear,1
2024-01-01 00:30:00,130.76943633722527,54.56596326533123,71.35560259405105,35.456230401597736,Clear,0
2024-01-01 00:35:00,68.07311268880343,52.08551365013389,35.456230401597736,32.701257267122294,Rain,0
2024-01-01 00:40:00,115.31791176413842,28.357483036986224,32.701257267122294,49.8260123388533,Rain,0
2024-01-01 00:45:00,50.01032135166855,99.63145805139064,49.8260123388533,41.581752547499555,Clear,0
2024-01-01 00:50:00,85.54939378709558,48.60554903636479,41.581752547499555,64.52561260474323,Clear,0
2024-01-01 00:55:00,150.0,43.01707506982883,64.52561260474323,13.298472862935537,Snow,0
2024-01-01 01:00:00,29.42489221495182,45.19463577228709,13.298472862935537,35.490031130370184,Snow,0
2024-01-01 01:05:00,68.97367730051675,51.454457003562275,35.490031130370184,21.063702178938442,Clear,0
2024-01-01 01:10:00,54.71900686167531,38.494306433933595,21.063702178938442,36.883831526824466,Rain,1
2024-01-01 01:15:00,84.05403825545835,43.88109398709262,36.883831526824466,66.53155586641698,Rain,0
2024-01-01 01:20:00,109.61992275745679,60.69294175076514,66.53155586641698,40.641691198426614,Clear,0
2024-01-01 01:25:00,140.05680351310508,29.01800567983388,40.641691198426614,60.651857499529704,Rain,0
2024-01-01 01:30:00,150.0,40.434571666353136,60.651857499529704,75.15234434327648,Snow,0
2024-01-01 01:35:00,86.60600734735432,86.77497860149568,75.15234434327648,40.27659644635952,Rain,0
2024-01-01 01:40:00,64.2962483846837,62.64221857142445,40.27659644635952,56.82884944510597,Clear,0
2024-01-01 01:45:00,126.74968003794201,44.83549735833217,56.82884944510597,27.487893559695667,Clear,0
